,,precision,recall,f1-score,support,time_elapsed
Logistic Regression,0,0.8152225945428435,0.9982415005861665,0.8974967061923583,1706.0,0.17607975006103516
Logistic Regression,1,1.0,0.005291005291005291,0.010526315789473684,189.0,0.17607975006103516
Logistic Regression,2,0.0,0.0,0.0,29.0,0.17607975006103516
Logistic Regression,3,0.0,0.0,0.0,92.0,0.17607975006103516
Logistic Regression,4,0.25,0.01282051282051282,0.024390243902439025,78.0,0.17607975006103516
Logistic Regression,accuracy,0.8142311365807068,0.8142311365807068,0.8142311365807068,0.8142311365807068,0.17607975006103516
Logistic Regression,macro avg,0.41304451890856875,0.20327060373953693,0.18648265317685422,2094.0,0.17607975006103516
Logistic Regression,weighted avg,0.7637391338539117,0.8142311365807068,0.7330569691847011,2094.0,0.17607975006103516
Random Forest,0,0.8147086914995224,1.0,0.8978947368421053,1706.0,1.4960453510284424
Random Forest,1,0.0,0.0,0.0,189.0,1.4960453510284424
Random Forest,2,0.0,0.0,0.0,29.0,1.4960453510284424
Random Forest,3,0.0,0.0,0.0,92.0,1.4960453510284424
Random Forest,4,0.0,0.0,0.0,78.0,1.4960453510284424
Random Forest,accuracy,0.8147086914995224,0.8147086914995224,0.8147086914995224,0.8147086914995224,1.4960453510284424
Random Forest,macro avg,0.1629417382999045,0.2,0.17957894736842106,2094.0,1.4960453510284424
Random Forest,weighted avg,0.663750252004864,0.8147086914995224,0.7315226461569397,2094.0,1.4960453510284424
SGD Classifier,0,0.815311004784689,0.9988276670574443,0.8977871443624869,1706.0,0.10621500015258789
SGD Classifier,1,0.3333333333333333,0.005291005291005291,0.010416666666666666,189.0,0.10621500015258789
SGD Classifier,2,0.0,0.0,0.0,29.0,0.10621500015258789
SGD Classifier,3,0.0,0.0,0.0,92.0,0.10621500015258789
SGD Classifier,4,1.0,0.01282051282051282,0.02531645569620253,78.0,0.10621500015258789
SGD Classifier,accuracy,0.8147086914995224,0.8147086914995224,0.8147086914995224,0.8147086914995224,0.10621500015258789
SGD Classifier,macro avg,0.4297288676236045,0.20338783703379248,0.1867040533450712,2094.0,0.10621500015258789
SGD Classifier,weighted avg,0.7315762054263035,0.8147086914995224,0.7333181957147595,2094.0,0.10621500015258789
Decision Tree,0,0.8184049079754602,0.7819460726846424,0.7997601918465228,1706.0,1.7039210796356201
Decision Tree,1,0.09433962264150944,0.10582010582010581,0.09975062344139651,189.0,1.7039210796356201
Decision Tree,2,0.02857142857142857,0.034482758620689655,0.03125,29.0,1.7039210796356201
Decision Tree,3,0.01904761904761905,0.021739130434782608,0.02030456852791878,92.0,1.7039210796356201
Decision Tree,4,0.0625,0.08974358974358974,0.07368421052631578,78.0,1.7039210796356201
Decision Tree,accuracy,0.6513849092645654,0.6513849092645654,0.6513849092645654,0.6513849092645654,1.7039210796356201
Decision Tree,macro avg,0.20457271564720347,0.20674633146076205,0.20494991886843078,2094.0,1.7039210796356201
Decision Tree,weighted avg,0.6788371127346384,0.6513849092645654,0.6646444096686787,2094.0,1.7039210796356201
KNN,0,0.8234997478567827,0.9572098475967175,0.8853347790729195,1706.0,3.4059739112854004
KNN,1,0.15384615384615385,0.05291005291005291,0.07874015748031496,189.0,3.4059739112854004
KNN,2,0.0,0.0,0.0,29.0,3.4059739112854004
KNN,3,0.08695652173913043,0.021739130434782608,0.034782608695652174,92.0,3.4059739112854004
KNN,4,0.2,0.05128205128205128,0.08163265306122448,78.0,3.4059739112854004
KNN,accuracy,0.7874880611270296,0.7874880611270296,0.7874880611270296,0.7874880611270296,3.4059739112854004
KNN,macro avg,0.2528604846884134,0.2166282164447209,0.21609803966202223,2094.0,3.4059739112854004
KNN,weighted avg,0.6960685257500451,0.7874880611270296,0.7329657926461106,2094.0,3.4059739112854004
